model,f1,balanced_accuracy_score,average_precision_score,average_recall_score
SVC,0.7272840668453403,0.7185505854641181,0.7355186834871231,0.7209510991475998
KNClassifier,0.6740292894030863,0.6864647688535488,0.6643893712609843,0.6890982503364738
RandomForst,0.7544010676402861,0.749330644684575,0.7581597892591101,0.7514580529385375
